"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/21/2015","AQS","110010042","1","5.7","ug/m3 LC","24","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"05/24/2015","AQS","110010042","1","9.1","ug/m3 LC","38","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"05/27/2015","AQS","110010042","1","7.7","ug/m3 LC","32","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"05/30/2015","AQS","110010042","1","7.2","ug/m3 LC","30","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"06/02/2015","AQS","110010042","1","4.1","ug/m3 LC","17","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"06/05/2015","AQS","110010042","1","5.2","ug/m3 LC","22","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"06/08/2015","AQS","110010042","1","8.3","ug/m3 LC","35","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"06/11/2015","AQS","110010042","1","26.4","ug/m3 LC","81","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"06/14/2015","AQS","110010042","1","12.8","ug/m3 LC","52","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"06/17/2015","AQS","110010042","1","8.2","ug/m3 LC","34","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"06/20/2015","AQS","110010042","1","11.2","ug/m3 LC","47","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"06/23/2015","AQS","110010042","1","13.5","ug/m3 LC","54","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"06/26/2015","AQS","110010042","1","12.3","ug/m3 LC","51","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"06/29/2015","AQS","110010042","1","5.4","ug/m3 LC","23","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"07/01/2015","AQS","110010042","1","15.7","ug/m3 LC","59","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"07/02/2015","AQS","110010042","1","20.9","ug/m3 LC","70","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"07/03/2015","AQS","110010042","1","18.3","ug/m3 LC","64","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"07/04/2015","AQS","110010042","1","18.8","ug/m3 LC","65","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"07/05/2015","AQS","110010042","1","17.7","ug/m3 LC","63","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"07/08/2015","AQS","110010042","1","14.7","ug/m3 LC","56","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"07/11/2015","AQS","110010042","1","13.5","ug/m3 LC","54","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
