"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","AQS","110010023","1","0.5","ppm","6","Verizon","19","79.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/02/2016","AQS","110010023","1","0.7","ppm","8","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/03/2016","AQS","110010023","1","1","ppm","11","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/04/2016","AQS","110010023","1","0.5","ppm","6","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/05/2016","AQS","110010023","1","0.9","ppm","10","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/06/2016","AQS","110010023","1","1.3","ppm","15","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/07/2016","AQS","110010023","1","1.4","ppm","16","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/08/2016","AQS","110010023","1","1.1","ppm","13","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/09/2016","AQS","110010023","1","1","ppm","11","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/10/2016","AQS","110010023","1","0.7","ppm","8","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/11/2016","AQS","110010023","1","0.7","ppm","8","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/12/2016","AQS","110010023","1","0.7","ppm","8","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/13/2016","AQS","110010023","1","0.8","ppm","9","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/14/2016","AQS","110010023","1","0.9","ppm","10","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/15/2016","AQS","110010023","1","1.2","ppm","14","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/16/2016","AQS","110010023","1","1","ppm","11","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/17/2016","AQS","110010023","1","0.8","ppm","9","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/18/2016","AQS","110010023","1","0.9","ppm","10","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/19/2016","AQS","110010023","1","0.8","ppm","9","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/20/2016","AQS","110010023","1","0.9","ppm","10","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/21/2016","AQS","110010023","1","0.9","ppm","10","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/22/2016","AQS","110010023","1","0.9","ppm","10","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/23/2016","AQS","110010023","1","1","ppm","11","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/24/2016","AQS","110010023","1","1.4","ppm","16","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/25/2016","AQS","110010023","1","2","ppm","23","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/26/2016","AQS","110010023","1","1.2","ppm","14","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/27/2016","AQS","110010023","1","1","ppm","11","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/28/2016","AQS","110010023","1","1.6","ppm","18","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/29/2016","AQS","110010023","1","1.5","ppm","17","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/30/2016","AQS","110010023","1","1","ppm","11","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
"01/31/2016","AQS","110010023","1","0.9","ppm","10","Verizon","24","100.0000","42101","Carbon monoxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9038890009223","-77.046389"
